4WFO:	HEADER    OXIDOREDUCTASE                          16-SEP-14   4WFO              
1WZD:	HEADER    OXIDOREDUCTASE                          04-MAR-05   1WZD              
5AZB:	HEADER    TRANSFERASE                             30-SEP-15   5AZB              
4HLS:	HEADER    MEMBRANE PROTEIN                        17-OCT-12   4HLS              
1GQI:	HEADER    GLUCURONIDASE                           26-NOV-01   1GQI              
4WTP:	HEADER    TRANSFERASE                             30-OCT-14   4WTP              
2RDQ:	HEADER    OXIDOREDUCTASE                          24-SEP-07   2RDQ              
1G6U:	HEADER    DE NOVO PROTEIN                         07-NOV-00   1G6U              
2ZS0:	HEADER    OXYGEN STORAGE, OXYGEN TRANSPORT        02-SEP-08   2ZS0              
5AZW:	HEADER    PROTEIN TRANSPORT                       23-OCT-15   5AZW              
4QHQ:	HEADER    TRANSPORT PROTEIN                       28-MAY-14   4QHQ              
3N6Y:	HEADER    UNKNOWN FUNCTION                        26-MAY-10   3N6Y              
5AZX:	HEADER    PROTEIN TRANSPORT                       23-OCT-15   5AZX              
4QHW:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   29-MAY-14   4QHW              
2DSK:	HEADER    HYDROLASE                               30-JUN-06   2DSK              
3OE3:	HEADER    HYDROLASE INHIBITOR                     12-AUG-10   3OE3              
3ML1:	HEADER    OXIDOREDUCTASE                          16-APR-10   3ML1              
4PF3:	HEADER    TRANSCRIPTION/TRANSCRIPTION INHIBITOR   28-APR-14   4PF3              
5GZC:	HEADER    SUGAR BINDING PROTEIN                   28-SEP-16   5GZC              
4ZW9:	HEADER    TRANSPORT PROTEIN                       19-MAY-15   4ZW9              
2DSX:	HEADER    ELECTRON TRANSPORT                      07-JUL-06   2DSX              
4LLD:	HEADER    IMMUNE SYSTEM                           09-JUL-13   4LLD              
4QMD:	HEADER    CELL ADHESION                           16-JUN-14   4QMD              
5GZD:	HEADER    SUGAR BINDING PROTEIN                   28-SEP-16   5GZD              
5D4V:	HEADER    UNKNOWN FUNCTION                        09-AUG-15   5D4V              
4REI:	HEADER    PROTEIN BINDING                         23-SEP-14   4REI              
4JDU:	HEADER    MEMBRANE PROTEIN                        25-FEB-13   4JDU              
2ASB:	HEADER    TRANSCRIPTION/RNA                       23-AUG-05   2ASB              
1SFS:	HEADER    STRUCTURAL GENOMICS, UNKNOWN FUNCTION   20-FEB-04   1SFS              
3S5M:	HEADER    HYDROLASE                               23-MAY-11   3S5M              
1ZZK:	HEADER    DNA BINDING PROTEIN                     14-JUN-05   1ZZK              
2ASK:	HEADER    HORMONE/GROWTH FACTOR                   23-AUG-05   2ASK              
1W66:	HEADER    TRANSFERASE                             13-AUG-04   1W66              
2J73:	HEADER    HYDROLASE                               05-OCT-06   2J73              
1FM0:	HEADER    TRANSFERASE                             15-AUG-00   1FM0              
5KO9:	HEADER    DNA BINDING PROTEIN                     29-JUN-16   5KO9              
2QAP:	HEADER    LYASE                                   15-JUN-07   2QAP              
